,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,12301900,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619253613,0.0,0.0,0.0,,
1,12315865,0.0,1387.6912393971695,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619439364,0.0,1387.6912393971695,1387.6912393971695,0.0,0.0
2,12323756,0.0,7677047.215030654,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619544062,0.0,7678517.341501166,7678517.341501166,0.0,0.0
3,12325806,0.0,8508.077333509911,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619571457,0.0,7767854.076628137,7767854.076628137,0.0,0.0
4,12329228,15061.74538311312,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619616640,15061.74538311312,7540650.527239734,7540650.527239734,2.2691039161e-05,0.0
5,12331758,1216.6504051237932,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619650934,16104.795146797536,7453736.0940459715,7453736.0940459715,2.65511780669e-05,0.0
6,12337142,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619723078,14788.741601164287,7403967.895302853,7403967.895302853,2.2691060684e-05,0.0
7,12343809,803.5486418769333,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619812321,16874.539432972695,8045920.629295973,8045920.629295973,2.50169164391e-05,0.0
8,12343880,0.0,803.5486418769333,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619813450,16874.539543834897,8046724.178048712,8046724.178048712,2.50119206208e-05,0.0
9,12346095,0.0,29744.722924017613,0,29744.72292418511,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619842409,17672.78575521125,8427371.197353689,8427371.197353689,2.50119290314e-05,0.0
10,12349869,70.26995936589019,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619892727,17215.64638173046,8175870.585212151,8175870.585212151,2.52173856198e-05,0.0
11,12366429,0.0,27501.337526509895,0,27501.33752658589,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1620113437,16448.44162466979,7811507.859017826,7811507.859017826,2.5217450517e-05,0.0
12,12368171,12259.235297256355,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1620136681,28415.474930738987,7672737.554495745,7672737.554495745,7.8006458456e-05,0.0
13,12424681,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1620890440,10518.981186657165,6165028.463927591,6165028.463927591,1.65576460401e-05,0.0
14,12445169,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1621164156,9294.695024938037,5786131.081744333,5786131.081744333,1.4676252065e-05,0.0
15,12450787,5288.54938262251,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1621239673,13795.825821930748,5295945.692994941,5295945.692994941,3.85948865645e-05,0.0
16,12474486,0.0,83956.77344829548,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1621556722,11704.855349073328,4577209.833703567,4577209.833703567,3.71921998626e-05,0.0
17,12494039,64214.422798330605,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1621819123,72590.01511599655,3275288.005139017,3275288.005139017,0.002793677010162,0.0
18,12511076,7213.903147556181,0.0,0,364.76935044245215,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1622047235,88763.29054476647,3679126.990757032,3679126.990757032,0.0033105384778392,0.0
19,12511339,177877.0639123442,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1622050685,265424.4391888499,3628728.0111023006,3628728.0111023006,0.0304294702794696,0.0
20,12539137,0.0,4183.137556228463,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1622423689,256564.40351766636,3511535.814731603,3511535.814731603,0.0303612751070409,0.0
21,12547315,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1622533878,260477.41054947764,3613451.0046882,3613451.0046882,0.0295540633794197,0.0
22,12547525,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1622536815,253835.8135778629,3521314.233279737,3521314.233279737,0.0295540931765442,0.0
23,12579743,17.318862082161022,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1622966467,318781.90244018385,4421680.0917906575,4421680.0917906575,0.029562018822181,0.0
24,12580174,70.76585512145914,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1622972156,325711.3808173603,4516809.4323513415,4516809.4323513415,0.0295749310847862,0.0
25,12625003,3473.122269511809,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1623572682,259273.63570007548,3546923.543586609,3546923.543586609,0.0303902638275802,0.0
26,12629962,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1623638350,267839.6552312596,3713812.1359756,3713812.1359756,0.0295822567110329,0.0
27,12640762,0.0,517.052573507246,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1623782667,272120.8430184058,3773590.195252431,3773590.195252431,0.0295757355826744,0.0
28,12658712,0.0,7.523070142446211,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624023612,241447.5115137816,3348090.662155252,3348090.662155252,0.0295782487591679,0.0
29,12678213,2163496.489851776,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624286581,1930263.5560921428,2759363.189916299,2759363.189916299,2.783151824553485,0.0
30,12679495,0.0,9934.477446496563,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624303298,1848891.0575423553,2652947.7448036214,2652947.7448036214,2.762400609020661,0.0
31,12680821,389844.6494741176,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624322003,1720863.038646874,2220598.455478548,2220598.455478548,3.4156546624561055,0.0
32,12695409,0.0,18.01430711428062,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624517763,2233003.3931139694,2881208.405766761,2881208.405766761,3.416259004993236,0.0
33,12696026,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624526855,2106137.58402418,2970588.1151731513,2970588.1151731513,2.85897243226168,0.0
34,12696392,62.677790469047935,636.151342470182,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624531612,2064027.0593650488,2911733.4190837163,2911733.4190837163,2.857912452364631,0.0
35,12703372,0.0,0.0,0,598.1745400066247,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624625522,1941001.1245866905,2737434.6853637146,2737434.6853637146,2.859469083099408,0.0
36,12714168,0.0,2800.22643422104,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624770772,2005901.985584628,2831530.7429271946,2831530.7429271946,2.854290687213348,0.0
37,12719270,0.0,58.73166807314474,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624839414,2061062.1693467177,2909339.1138114464,2909339.1138114464,2.854400016897337,0.0
38,12719584,0.0,58.18271277683978,0,58.18271277683978,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624843721,2041809.9064858928,2882156.030536915,2882156.030536915,2.8544141086296015,0.0
39,12719820,0.0,0.0,0,57.57224825942057,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624847064,2020393.9962854416,2851862.9544304623,2851862.9544304623,2.8545402953547128,0.0
40,12723099,0.0,208835.46706402968,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624891290,2026990.8657945977,3069937.6334213526,3069937.6334213526,2.479509769506296,0.0
41,12723817,0.0,429525.8845898427,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624900835,2069706.9861626,3564139.7243144163,3564139.7243144163,1.9179162654259867,0.0
42,12724761,0.0,851.3234568416109,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1624913394,2035628.6057462643,3506276.617041057,3506276.617041057,1.9170175688233049,0.0
43,12742870,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1625156828,2034718.9023802872,3564480.96198196,3564480.96198196,1.853265191513054,0.0
44,12750577,39518.37429342129,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1625260517,2030696.0724809105,3538376.977653214,3538376.977653214,1.8732812254237412,0.0
45,12756426,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1625339777,2115218.318214778,3705041.8109055455,3705041.8109055455,1.853725792578326,0.0
46,12772439,31689.30906561558,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1625554667,2094862.6327269052,3613351.33717944,3613351.33717944,1.9116660181367489,0.0
47,12773413,0.0,3.433707823473023,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1625568090,2051324.5185704727,3538225.3766602636,3538225.3766602636,1.911697000650021,0.0
48,12779013,40450.36907515283,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1625643787,2141770.290834974,3624274.4391956623,3624274.4391956623,1.9862089210701852,0.0
49,12784544,0.0,124039.26055797395,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1625717824,2068872.8377366825,3624783.782041026,3624783.782041026,1.8527835458140296,0.0
50,12785189,4420.000913753138,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1625726912,2052466.3711004488,3588272.4500498087,3588272.4500498087,1.8608123531589489,0.0
51,12804619,496.76055034701034,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1625987720,2010256.2973084936,3512986.774095553,3512986.774095553,1.8623920413738828,0.0
52,12810536,552.7681660899653,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1626067350,2055632.6373208745,3591123.16436364,3591123.16436364,1.8635956135115073,0.0
53,12811184,0.8633883417620442,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1626075805,2055661.1051283523,3591150.7686594627,3591150.7686594627,1.8636185797513007,0.0
54,12814725,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1626123078,1965929.2741418057,3441675.0641064686,3441675.0641064686,1.8557408137642313,0.0
55,12814847,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1626124684,1965925.3025028436,3441680.0680566784,3441680.0680566784,1.855727919506724,0.0
56,12818748,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1626178713,1931610.8824917388,3382391.3752462766,3382391.3752462766,1.854867278367399,0.0
57,12836704,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1626422338,1765196.5309003044,3091241.4758856543,3091241.4758856543,1.8545626637461,0.0
58,12861411,0.0,4721.000712743929,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1626757188,1584774.8881071175,2779373.5187951145,2779373.5187951145,1.8491090809360828,0.0
59,12861729,0.0,0.0,0,4673.212127170776,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1626761558,1568739.744373198,2746569.743547095,2746569.743547095,1.8554178748452848,0.0
60,12866725,8216.804438430749,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1626828873,1533813.426696231,2670912.0180908754,2670912.0180908754,1.875629712751312,0.0
61,12881449,46816.99083469723,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1627027449,1795215.7444093751,3044170.9090439086,3044170.9090439086,1.9779550418510927,0.0
62,12886000,0.0,532208.837306195,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1627089409,1810706.5656174612,3602520.0216248124,3602520.0216248124,1.4368272649926703,0.0
63,12891673,0.0,794.3967840682042,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1627164999,1906982.3693915703,3794662.547995096,3794662.547995096,1.4363763518957873,0.0
64,12905252,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1627349598,1833957.6932646967,3668022.629895062,3668022.629895062,1.4217911815210096,0.0
65,12905823,0.0,0.0,0,475.547673870152,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1627357344,1814853.8546612991,3629318.784843407,3629318.784843407,1.4221790815863715,0.0
66,12913382,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1627460466,299052.2586441024,3831035.468556968,3831035.468556968,0.0346563665507892,0.0
67,12915525,0.0,9.403687525006585,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1627490720,293175.704377546,3755740.0640018354,3755740.0640018354,0.0346566117315409,0.0
68,12925212,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1627623898,292414.654412672,3797170.9424547786,3797170.9424547786,0.0337286663894574,0.0
69,12943990,12572.206972522865,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1627880472,333872.3313217573,4172054.1209672135,4172054.1209672135,0.0364235433436731,0.0
70,12947819,3316.496282896519,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1627932573,340937.947484622,4218858.059365057,4218858.059365057,0.037143434322146,0.0
71,12968569,0.0,0.0,0,646483.0777113183,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1628214917,353723.3138719473,3730329.8482238874,3730329.8482238874,0.051139215725469,0.0
72,12990671,0.0,6760.941308307643,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1628508842,417735.6105840637,4411849.556838308,4411849.556838308,0.0509897370907936,0.0
73,12995535,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1628573551,416986.33356015314,4447128.138153061,4447128.138153061,0.0500040891161896,0.0
74,13009130,0.3468154016157538,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1628754966,432722.46980011853,4614751.773123673,4614751.773123673,0.050008446978958,0.0
75,13009342,0.0,0.0867038504039387,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1628758293,432722.8443631068,4614752.234390338,4614752.234390338,0.0500085235560664,0.0
76,13036328,0.0,0.0,0,4095.6965815653166,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1629117358,455385.18903282407,4851926.912630253,4851926.912630253,0.0501014697239664,0.0
77,13043412,0.0,0.0,0,68431.43248809964,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1629212646,445973.4533189533,4683110.775066053,4683110.775066053,0.0515786907871029,0.0
78,13055301,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1629370827,291150.88700423716,4284241.217486926,4284241.217486926,0.0262669449978797,0.0
79,13080753,17094.095457758584,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1629711198,372045.4649667216,5222743.23294911,5222743.23294911,0.0288612967267556,0.0
80,13130155,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1630370309,291238.0150026945,4596004.23145512,4596004.23145512,0.0228379145888186,0.0
81,13131762,6810.8018137642775,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1630391507,298298.1935744026,4599923.56874015,4599923.56874015,0.0239177969690673,0.0
82,13161333,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1630786283,376499.8744313363,5941099.5404242,5941099.5404242,0.0228411083015883,0.0
83,13184778,49127.40360518738,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1631099911,382072.40313025354,5253540.177155703,5253540.177155703,0.0300821161216981,0.0
84,13192741,0.0,0.0,0,4628.356180012877,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1631206788,423851.0933403964,5823257.1446960755,5823257.1446960755,0.0301311590693799,0.0
85,13216661,12173.499519972798,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1631526734,378511.0207921653,5032781.132599864,5032781.132599864,0.0321708198631104,0.0
86,13235119,0.0,20042.841395376483,0,20042.84146929152,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1631773401,432142.9717149084,5745612.014489548,5745612.014489548,0.0321738827875611,0.0
87,13247493,9946.549279111794,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1631938676,430685.3678457983,5593808.216276601,5593808.216276601,0.0337152394450674,0.0
88,13269355,89937.20222180976,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1632230124,459916.7325877133,4805075.261598263,4805075.261598263,0.0521049748461312,0.0
89,13290972,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1632520277,360056.69306665374,4169250.997172403,4169250.997172403,0.0424176742762846,0.0
90,13300686,16177.163444080476,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1632649669,315750.2315648902,3468786.8815687955,3468786.8815687955,0.0471252077633098,0.0
91,13300793,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1632651152,313172.8738074364,3576522.066719147,3576522.066719147,0.0436081452882582,0.0
92,13301503,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1632661070,296424.683664338,3581239.286704503,3581239.286704503,0.0389657651382942,0.0
93,13345280,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1633251890,368702.89474493905,4486051.405406618,4486051.405406618,0.0384189738764207,0.0
94,13370596,0.0,0.0,0,160466.38214954105,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1633593421,380100.8250013928,4463934.405520326,4463934.405520326,0.04123662988961,0.0
95,13414253,0.0,176838.26797817406,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1634185998,366555.7406909349,4481146.797849411,4481146.797849411,0.038055976249328,0.0
96,13420029,34878.742924380036,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1634265239,402547.7093233672,4494681.767229474,4494681.767229474,0.0456202837030386,0.0
97,13421172,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1634281375,371425.5893087353,4540589.177328646,4540589.177328646,0.0380575110112581,0.0
98,13433816,26904.219041120567,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1634451882,381427.7790046601,4333811.903924043,4333811.903924043,0.0440560626140087,0.0
99,13438315,7637.240214109986,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1634512419,368559.39798025286,4100770.163772665,4100770.163772665,0.0459415115886428,0.0
100,13444557,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1634597872,368559.39798025286,4100770.163772665,4100770.163772665,0.0459415115886428,0.0
101,13447632,0.0,0.0,0,1003.9353754918676,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1634638630,363817.0222637913,4046884.3105360274,4046884.3105360274,0.0459669417151631,0.0
102,13450298,0.0,0.0,0,6319.253846485521,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1634674645,366539.9763005324,4070820.244490382,4070820.244490382,0.0461105180933521,0.0
103,13510195,12417.2348098799,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1635484170,372044.4797064334,3993311.9730737656,3993311.9730737656,0.0493678719180067,0.0
104,13565718,45948.90875215257,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1636238806,413145.48657320434,3940580.22735792,3940580.22735792,0.0625182530314476,0.0
105,13569073,61320.06189872215,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1636284169,474840.8909846539,3944113.652527979,3944113.652527979,0.082436308683866,0.0
106,13625354,40594.08933542283,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1637048540,489774.88363076845,3730138.4366569696,3730138.4366569696,0.0980537650132083,0.0
107,13652980,43037.02325208978,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1637426096,497442.671616368,3460351.9145203345,3460351.9145203345,0.1175348590811811,0.0
108,13719648,48958.29383886256,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1638341896,552149.6858838169,3499247.021729023,3499247.021729023,0.1416072873809785,0.0
109,13733020,160679.65011240033,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1638526628,635409.1246108197,3445371.0125577534,3445371.0125577534,0.1934443505602455,0.0
110,13738334,189253.21835755117,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1638600152,638312.2474381868,2434852.489526209,2434852.489526209,0.3908788675423079,0.0
111,13755833,23380.375822063128,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1638842341,680639.5433973852,2506799.9685620554,2506799.9685620554,0.4192915768077158,0.0
112,13757069,0.0,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1638859168,650701.3460554132,2481765.383988812,2481765.383988812,0.3909877134866094,0.0
113,13768668,81354.79756185827,0.0,0,0.0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1639019661,767547.0335532335,2616901.6796272737,2616901.6796272737,0.489278719923948,0.0
