,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,11367184,0.0,0.0,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1606832522,0.0,0.0,0.0,,
1,11367463,0.0,7.763606153846154,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1606836555,0.0,7.763606153846154,7.763606153846154,0.0,0.0
2,11373156,4.140501185536455,0.0,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1606913241,4.140501185536455,8.28100237107291,8.28100237107291,0.0,0.0
3,11373896,0.8703346750673766,0.0,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1606922775,5.22200805040426,8.703346750673767,8.703346750673767,0.0,0.0
4,11374216,0.0,58.14451126435608,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1606926812,5.160764499121265,66.7457854295582,66.7457854295582,0.0,0.0
5,11374416,0.0,10.306325435892813,0.0,8.60127416520211,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1606929626,5.160764499121265,68.4508367002489,68.4508367002489,0.0,0.0
6,11379210,0.0,0.0,0.4267987187503164,0.1940340810472354,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1606992686,4.694785906253481,67.73511624128311,67.73511624128311,0.0,0.0
7,11379530,0.0,0.0,0.4187682172088054,4.187682172088055,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1606997327,4.187682172088055,62.27295284070695,62.27295284070695,0.0,0.0
8,11380297,0.0,0.0,4.187682172088055,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607007170,0.0,62.27295284070695,62.27295284070695,0.0,0.0
9,11380506,0.0,369.0013494397057,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607009732,0.0,435.94589506641137,435.94589506641137,0.0,0.0
10,11380840,0.0,1290.0101460898238,0.0,1.7534538878033565,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607014292,0.0,1689.042096904829,1689.042096904829,0.0,0.0
11,11381147,0.0,58903.66826258287,0.0,8917.127165485836,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607018281,0.0,52436.53920276639,52436.53920276639,0.0,0.0
12,11381397,0.0,776.9849064955612,0.0,60.5659275977947,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607021585,0.0,53152.95818166415,53152.95818166415,0.0,0.0
13,11381652,0.0,485.2830588610072,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607024860,0.0,53638.24124052516,53638.24124052516,0.0,0.0
14,11381915,0.0,195480.283766385,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607028477,0.0,250806.56376365444,250806.56376365444,0.0,0.0
15,11382177,0.0,36981.68680961307,0.0,9657.753382802237,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607031950,0.0,282351.9480286676,282351.9480286676,0.0,0.0
16,11382966,0.0,767.1369585173221,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607042544,0.0,280877.73055044014,280877.73055044014,0.0,0.0
17,11383108,0.0,0.0,0.0,187022.60324461365,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607044586,0.0,86979.37744110188,86979.37744110188,0.0,0.0
18,11384034,0.0,1011076.0477931997,0.0,1011076.0477931997,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607056969,0.0,86907.90566583928,86907.90566583928,0.0,0.0
19,11384592,0.0,18.12435314410929,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607064111,0.0,87145.51735309491,87145.51735309491,0.0,0.0
20,11384911,0.0,3318.215429605262,0.0,18.12435314410929,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607068467,0.0,90445.60842955606,90445.60842955606,0.0,0.0
21,11384980,0.0,88.7810606060606,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607069616,0.0,88816.48319913029,88816.48319913029,0.0,0.0
22,11385357,0.0,10076.500216649156,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607074798,0.0,99640.10772752904,99640.10772752904,0.0,0.0
23,11385677,0.0,2201.9974935222094,0.0,29.957637812280108,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607078740,0.0,99082.41794711424,99082.41794711424,0.0,0.0
24,11385831,0.0,166354.53463604828,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607080862,0.0,266710.8308194896,266710.8308194896,0.0,0.0
25,11386262,0.0,353.776398505865,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607086307,0.0,261095.2538011165,261095.2538011165,0.0,0.0
26,11386482,0.0,29545.87307796125,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607089040,0.0,292688.79790608,292688.79790608,0.0,0.0
27,11386594,0.0,0.0,0.0,864.395270009144,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607090712,0.0,291824.40263607085,291824.40263607085,0.0,0.0
28,11386868,0.0,347.05544436137615,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607094510,0.0,292171.45808043226,292171.45808043226,0.0,0.0
29,11387253,0.0,43207.67711289767,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607099581,0.0,332808.7118084581,332808.7118084581,0.0,0.0
30,11388216,0.0,6413.2725483253225,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607111980,0.0,340925.5876181848,340925.5876181848,0.0,0.0
31,11388387,0.0,92293.24767538234,0.0,45214.41629081096,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607114320,0.0,392986.0615656525,392986.0615656525,0.0,0.0
32,11388706,0.0,25399.588960657664,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607118618,0.0,404426.66877688095,404426.66877688095,0.0,0.0
33,11389164,0.0,2062.5,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607125344,0.0,396146.0447271203,396146.0447271203,0.0,0.0
34,11389502,0.0,12745.033099788185,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607129861,0.0,404306.3112104792,404306.3112104792,0.0,0.0
35,11389722,0.0,6646.91081778199,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607132901,0.0,410953.2220282611,410953.2220282611,0.0,0.0
36,11390041,0.0,508.3495668232944,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607136914,0.0,407240.70440667553,407240.70440667553,0.0,0.0
37,11390598,0.0,788.9177694275631,0.0,788.9177694275631,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607144291,0.0,410306.210577658,410306.210577658,0.0,0.0
38,11390835,0.0,58.2415887472772,0.0,58.2415887472772,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607147383,0.0,419629.42062641063,419629.42062641063,0.0,0.0
39,11391063,0.0,493.6107763504036,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607150420,0.0,420123.03140276106,420123.03140276106,0.0,0.0
40,11391777,0.0,403.03620530094463,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607159920,0.0,440874.4379488636,440874.4379488636,0.0,0.0
41,11392235,0.0,16595.421191507114,0.0,4806.384308543701,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607165830,0.0,459068.1827818371,459068.1827818371,0.0,0.0
42,11392295,0.0,16628.85997521723,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607166630,0.0,475697.0427570544,475697.0427570544,0.0,0.0
43,11393536,0.0,6357.570237776622,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607183357,0.0,497538.28564181767,497538.28564181767,0.0,0.0
44,11393824,0.0,30719.620807113984,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607187438,0.0,528257.9064489317,528257.9064489317,0.0,0.0
45,11394105,0.0,510.72626457819274,0.0,424.5463777718414,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607190961,0.0,528344.086335738,528344.086335738,0.0,0.0
46,11394169,0.0,60.13118485760532,0.0,60.13118485760532,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607191700,0.0,528344.086335738,528344.086335738,0.0,0.0
47,11394678,0.0,4413.13963224704,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607198339,0.0,523588.30295000126,523588.30295000126,0.0,0.0
48,11394736,0.0,314.5552830500071,0.0,224.84732270255984,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607199135,0.0,523678.01091034873,523678.01091034873,0.0,0.0
49,11395144,0.0,10901.134456968579,0.0,50.87966086139674,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607204609,0.0,534528.2657064559,534528.2657064559,0.0,0.0
50,11395343,0.0,905.3351133856864,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607207473,0.0,535433.6008198416,535433.6008198416,0.0,0.0
51,11395655,0.0,18500.66716663172,0.0,1505.3240261691017,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607211662,0.0,552430.2994293235,552430.2994293235,0.0,0.0
52,11396017,0.0,971.9542760799536,0.0,400.84253972402905,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607216349,0.0,559318.3951783492,559318.3951783492,0.0,0.0
53,11396150,0.0,0.0,0.0,635.9807460890493,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607218099,0.0,559424.2160173773,559424.2160173773,0.0,0.0
54,11396513,0.0,0.0,0.0,600.4145762956579,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607222997,0.0,558823.8014410817,558823.8014410817,0.0,0.0
55,11396735,0.0,15305.72164165672,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607225734,0.0,574129.5230827384,574129.5230827384,0.0,0.0
56,11396945,0.0,0.0,0.0,1329.846559610526,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607228390,0.0,558745.2315472108,558745.2315472108,0.0,0.0
57,11397243,0.0,177.2606313281715,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607232381,0.0,558922.4921785389,558922.4921785389,0.0,0.0
58,11397395,0.0,51492.30473178837,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607234597,0.0,610414.7969103274,610414.7969103274,0.0,0.0
59,11397718,0.0,33.10342290053604,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607238786,0.0,610447.9003332279,610447.9003332279,0.0,0.0
60,11398650,0.0,192.16335233568557,0.0,192.2037311397624,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607251147,0.0,601725.9467274373,601725.9467274373,0.0,0.0
61,11399319,0.0,205404.5883628316,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607259557,0.0,807130.5350902689,807130.5350902689,0.0,0.0
62,11399603,0.0,19010.90448230476,0.0,19063.97797463932,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607262907,0.0,799092.328238169,799092.328238169,0.0,0.0
63,11399923,0.0,0.0,0.0,12303.761080963865,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607267539,0.0,799631.1224324615,799631.1224324615,0.0,0.0
64,11400596,0.0,874.06460072225,0.0,984.0075261083998,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607276635,0.0,784827.6670519935,784827.6670519935,0.0,0.0
65,11400875,0.0,50332.767280903725,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607280681,0.0,835160.4343328974,835160.4343328974,0.0,0.0
66,11401124,0.0,70.99016192734464,0.0,512.0321546431132,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607283984,0.0,834719.3923401816,834719.3923401816,0.0,0.0
67,11401708,0.0,114.70340485714284,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607291361,0.0,834834.0957450387,834834.0957450387,0.0,0.0
68,11401998,0.0,779.4428685003702,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607295442,0.0,851886.5362146803,851886.5362146803,0.0,0.0
69,11402088,0.0,1288.4762639897845,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607296851,0.0,863578.9267026742,863578.9267026742,0.0,0.0
70,11402520,0.0,0.0,0.0,1846.8569678829003,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607302409,0.0,842899.3947136245,842899.3947136245,0.0,0.0
71,11402695,0.0,5870.1019664372325,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607304743,0.0,853870.0739029346,853870.0739029346,0.0,0.0
72,11403036,0.0,47826.26064464427,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607309677,0.0,917407.3801208119,917407.3801208119,0.0,0.0
73,11403112,0.0,58.029256140616475,0.0,58.029256140616475,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607310793,0.0,917407.4323732557,917407.4323732557,0.0,0.0
74,11403753,0.0,62.4626598963025,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607318516,0.0,917469.8950331518,917469.8950331518,0.0,0.0
75,11404043,0.0,9011.961559197767,0.0,9.199559868820307,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607322208,0.0,935834.5008638408,935834.5008638408,0.0,0.0
76,11404549,0.0,1802.1870781769223,0.0,712.239993637455,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607329085,0.0,951643.7232292756,951643.7232292756,0.0,0.0
77,11404946,0.0,0.0,0.0,74.61714935168993,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607334212,0.0,942516.6093072317,942516.6093072317,0.0,0.0
78,11405515,0.0,1490.3986961572684,0.0,2573.107078952541,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607342081,0.0,942555.944506945,942555.944506945,0.0,0.0
79,11405934,0.0,61295.4238706828,0.0,1510.6635904831069,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607347501,0.0,1033316.7567889676,1033316.7567889676,0.0,0.0
80,11406318,0.0,803.1723530815887,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607352758,0.0,1034119.9291420492,1034119.9291420492,0.0,0.0
81,11406350,0.0,1807.3494199696404,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607353201,0.0,1035927.2785620188,1035927.2785620188,0.0,0.0
82,11406843,0.0,1510.6635904831069,0.0,1510.6635904831069,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607359687,0.0,1035927.2785620188,1035927.2785620188,0.0,0.0
83,11407070,0.0,14433.152801944663,0.0,13243.451403955753,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607362733,0.0,1037116.9799600078,1037116.9799600078,0.0,0.0
84,11407387,0.0,2574.530322149697,0.0,1182.0271066588095,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607366909,0.0,1007784.6990471504,1007784.6990471504,0.0,0.0
85,11407449,0.0,496.14317795940576,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607367710,0.0,1002964.2758174754,1002964.2758174754,0.0,0.0
86,11407928,0.0,110577.92632276355,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607374578,0.0,1149420.6296306462,1149420.6296306462,0.0,0.0
87,11408125,0.0,6922.783653176173,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607377179,0.0,1156343.4132838224,1156343.4132838224,0.0,0.0
88,11408467,0.0,11430.362084721484,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607381813,0.0,1150134.976704062,1150134.976704062,0.0,0.0
89,11408686,0.0,53126.62326464785,0.0,820.2442273534637,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607384613,0.0,1190013.583275213,1190013.583275213,0.0,0.0
90,11408872,0.0,28721.508185780236,0.0,1794.131386491158,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607386960,0.0,1204235.3194750587,1204235.3194750587,0.0,0.0
91,11409281,0.0,270783.7223385274,0.0,270783.7223385274,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607392434,0.0,1198558.3114869616,1198558.3114869616,0.0,0.0
92,11409782,0.0,1390418.4710779209,0.0,8.97612764888395,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607399202,0.0,2564212.5115833264,2564212.5115833264,0.0,0.0
93,11410021,0.0,32989.43120036281,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607402291,0.0,2597201.942783689,2597201.942783689,0.0,0.0
94,11411409,0.0,0.0,0.0,8610.292759756147,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607420552,0.0,2512807.128661017,2512807.128661017,0.0,0.0
95,11411738,0.0,3832.756228297064,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607424994,0.0,2507999.8603781583,2507999.8603781583,0.0,0.0
96,11411813,0.0,424.19154727793693,0.0,26716.484642963387,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607425936,0.0,2481707.5672824727,2481707.5672824727,0.0,0.0
97,11412750,0.0,5665.995940817224,0.0,5660.97626574854,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607438623,0.0,2532396.557119341,2532396.557119341,0.0,0.0
98,11413309,0.0,44224.34673097028,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607446543,0.0,2520336.360595332,2520336.360595332,0.0,0.0
99,11413574,0.0,90400.14173237301,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607450183,0.0,2610736.502327705,2610736.502327705,0.0,0.0
100,11413757,0.0,4281.139223611901,0.0,428.1139223611901,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607452553,0.0,2614589.527628956,2614589.527628956,0.0,0.0
101,11414103,0.0,0.0,0.0,1352521.312215892,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607457065,0.0,1208173.6315353927,1208173.6315353927,0.0,0.0
102,11414535,0.0,3321.1905703547395,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607462811,0.0,1191661.1326776703,1191661.1326776703,0.0,0.0
103,11414884,0.0,0.0,0.0,205.71341672550727,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607467026,0.0,1188625.9620616687,1188625.9620616687,0.0,0.0
104,11415159,0.0,44665.65875332468,0.0,197.38459971935708,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607470840,0.0,1201118.5885723056,1201118.5885723056,0.0,0.0
105,11415455,0.0,16162.575445463668,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607474621,0.0,1217281.1640177693,1217281.1640177693,0.0,0.0
106,11415813,0.0,50477.635277292306,0.0,26510.240398122063,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607478935,0.0,1232054.0151450755,1232054.0151450755,0.0,0.0
107,11415990,0.0,22300.603416703292,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607481227,0.0,1254354.618561779,1254354.618561779,0.0,0.0
108,11416273,0.0,0.0,0.0,203.65655900571508,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607484976,0.0,1274916.3933212785,1274916.3933212785,0.0,0.0
109,11416486,0.0,40382.87992464172,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607487824,0.0,1315187.9976530657,1315187.9976530657,0.0,0.0
110,11416696,0.0,0.0,0.0,36422.314856393874,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607490467,0.0,1278765.682796672,1278765.682796672,0.0,0.0
111,11417380,0.0,360390.0012479904,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607499657,0.0,1614274.1433891007,1614274.1433891007,0.0,0.0
112,11418052,0.0,981.3628766541112,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607508771,0.0,1602663.2658801593,1602663.2658801593,0.0,0.0
113,11418586,0.0,20647.26418196584,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607516154,0.0,1702362.8508412505,1702362.8508412505,0.0,0.0
114,11419090,0.0,20578.724401527183,0.0,87.17130253548427,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607522222,0.0,1719846.7642224277,1719846.7642224277,0.0,0.0
115,11419224,0.0,9642.89897820852,0.0,524.3250263964549,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607523920,0.0,1736608.4379730227,1736608.4379730227,0.0,0.0
116,11419497,0.0,123.06499613555968,0.0,82668.74030247926,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607527525,0.0,1641564.5213788245,1641564.5213788245,0.0,0.0
117,11420024,0.0,1019.5500545926404,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607534868,0.0,1700992.3793974917,1700992.3793974917,0.0,0.0
118,11420255,0.0,6202.343478790967,0.0,0.0,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607538075,0.0,1692785.0814462544,1692785.0814462544,0.0,0.0
119,11421016,0.0,0.0,0.0,840.6080186146739,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607547866,0.0,1688288.1736451455,1688288.1736451455,0.0,0.0
120,11421471,0.0,5013.446659760606,0.0,21598.843658871006,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,AAVE,Aave interest bearing AAVE,Aave v2,1607553873,0.0,1717034.8826676277,1717034.8826676277,0.0,0.0
