,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20198057,0,0.0,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1719672767,0,0.0,0.0,,
1,20218427,0,4577364.71515468,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1719918395,0,1362106.8971440226,1362106.8971440226,,
2,20220567,0,31.303900453029936,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1719944279,0,4577364.71515468,4577364.71515468,,
3,20233011,0,0.0,0,329091.51327388,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1720094411,0,4551490.245790416,4551490.245790416,,
4,20239488,0,2.0566117990078334,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1720172663,0,3887503.5282368097,3887503.5282368097,,
5,20241829,0,7150.176623527048,0,7150.176592469793,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1720200875,0,3679514.1887484095,3679514.1887484095,,
6,20253347,0,0.0936261991524378,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1720339763,0,3672364.0121559408,3672364.0121559408,,
7,20261265,0,228696.28612928928,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1720435343,0,3703800.919985593,3703800.919985593,,
8,20305735,0,798.3282580417888,0,798.3282309607317,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1720972055,0,4173919.149963972,4173919.149963972,,
9,20308618,0,7303617.204142926,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1721006807,0,4173120.8217330114,4173120.8217330114,,
10,20312026,0,1341826.3949039548,0,4132144.611648246,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1721047883,0,7709890.827175521,7709890.827175521,,
11,20312271,0,0.0,0,250619.5805422963,0xa17581a9e3356d9a858b789d68b4d866e593ae94cd5fe23c85820f7b72d0926fc9b05b43e359b7ee,weETH,,Compound III,1721050835,0,9051717.222079474,9051717.222079474,,
